model,accuracy,precision_credible,recall_credible,f1_credible,macro_precision,macro_recall,macro_f1,main_value
Sentence embeddings + GBM,0.6269146608315098,0.5823389021479713,0.5951219512195122,0.5886610373944512,0.623492683397218,0.623949864498645,0.6236598480265549,semantic transformer-based signal with GBM
Sentence embeddings + Logistic Regression,0.6170678336980306,0.5657894736842105,0.6292682926829268,0.5958429561200924,0.6169558722132843,0.618205574912892,0.6160087961473644,semantic transformer-based signal without fine-tuning
TF-IDF + Logistic Regression,0.6105032822757112,0.5589519650655022,0.624390243902439,0.5898617511520737,0.610616333409944,0.6117982965543941,0.6095142089093701,strong explainable supervised baseline
Dummy baseline,0.5514223194748359,0.0,0.0,0.0,0.27571115973741794,0.5,0.3554301833568406,minimum reference
